sub_id,from,to,choice,edge,mem_value,triad_value,comm_value,sr0,sr1,sr2,sr3,sr4,sr5,sr6,sr7,sr8,sr9
1,2,1,1,0,0,0,0.047619047619047616,0.029789279440880088,0.03295321943573209,0.03580776777423966,0.038374715586179234,0.04067334109006043,0.04272390952195376,0.044555168236836196,0.04621773881636206,0.04780213908649082,0.049454464028639525
1,2,3,0,0,0,0.08333333333333333,0.047619047619047616,0.10729206601088381,0.10179097370342888,0.09630478232623281,0.0908456719221437,0.08542848583285981,0.08006925378462487,0.07478162324180071,0.06957012823247512,0.06441997918398636,0.05927658115126556
1,2,4,1,0,0,0.08333333333333333,0.047619047619047616,0.01466896991838312,0.019005185155028803,0.02334154067692289,0.02767088872501907,0.03197496377280709,0.036221188434454016,0.04035874934274665,0.04431635857579283,0.0480054592831157,0.051315590297528746
1,2,5,0,0,0,0,0.047619047619047616,0.03066391213000523,0.03464619256923149,0.038239913309868,0.041465984187216115,0.04433653277298505,0.046855050639831634,0.0490181832593138,0.05081894471412831,0.05224691416889217,0.05327883600117562
1,2,6,1,1,0.3333333333333333,0.08333333333333333,0.047619047619047616,0.06714393496669456,0.06362032612598859,0.060012905379455694,0.05630847830278851,0.05249656376311652,0.048570033921346956,0.04452410522588046,0.04035134850610101,0.03603413936390874,0.031560243433195564
1,2,7,1,1,0.3333333333333333,0.08333333333333333,0.047619047619047616,0.11256283280530713,0.10602076422015869,0.09930131176950004,0.09242152097101312,0.08540338128551841,0.07827796685422474,0.07109089500911597,0.06390917562966193,0.05682669479823619,0.04994548229269063
1,2,8,1,0,0,0.08333333333333333,0.047619047619047616,0.07701245633083607,0.07366610466989378,0.07044264912348447,0.06733014258182735,0.06431985238448741,0.06140535832538909,0.05858391958880645,0.055862737223057866,0.05326931205623464,0.05084181945214972
1,2,9,0,0,0,0,0.047619047619047616,0.019119212349924464,0.023023679318806677,0.026555584847882358,0.0297553123013428,0.0326686449077444,0.03534523879665107,0.03783380068233248,0.04017082108453843,0.042358220526022644,0.044330273464588225
1,2,10,0,0,0,0,0.047619047619047616,0.021671735330265066,0.0251697049959061,0.02868376577984328,0.03225736655090588,0.035934956191912636,0.03976042908758833,0.04377300992135478,0.047999948742701866,0.05245012275124965,0.057136714652223176
1,2,11,0,0,0,0.08333333333333333,0.047619047619047616,0.05899164469809848,0.05665703335313616,0.05433188785768228,0.05201662860952871,0.049714772676892505,0.047433914312706014,0.04518843128427757,0.04300775675548205,0.04095771242453356,0.039171080365350386
1,2,12,1,0,0,0.08333333333333333,0.047619047619047616,0,0.0018288443656743105,0.00372822263993706,0.005679316945237058,0.007662438196152325,0.009655891676194543,0.011634461785680021,0.013569162069049508,0.01543512607205309,0.017232033249286068
1,2,13,0,0,0,0,0.047619047619047616,0.049606981493124064,0.046273997025637836,0.04322507580850259,0.04043622542695651,0.03788737408355486,0.03556283160091217,0.033451968459612416,0.031548592588596165,0.02984532687515356,0.028328040003400733
1,2,14,0,0,0,0.08333333333333333,0.047619047619047616,0.016053134822332286,0.017771228281708292,0.019494261837846208,0.021221290386904255,0.02294758627016509,0.024665291491093668,0.026364297173293538,0.02803270905085886,0.02965537734000968,0.031200321011429593
1,2,15,0,0,0,0,0.047619047619047616,0.020219216947979384,0.024965970486832544,0.02960362225595671,0.034159440600752426,0.0386551746715017,0.043106269373049816,0.04752022605095236,0.051894168000668914,0.05621611333413895,0.060490797734511347
1,2,16,1,0,0,0,0.047619047619047616,0.03883445180104268,0.035829710601597065,0.0333025358101748,0.03125775887988087,0.02970745752894507,0.02867146623909916,0.028177855097540516,0.028264088799125932,0.028981933862648405,0.030395456963819345
1,2,17,1,0,0,0.08333333333333333,0.047619047619047616,0.05013651457399074,0.04856228826870281,0.04710409390774482,0.045755279355564976,0.044512186043472894,0.04337222410839488,0.042329428981855405,0.04136344169131213,0.04041380714132553,0.039330488815523874
1,2,18,1,0,0,0.08333333333333333,0.047619047619047616,0.0837115883605631,0.08490216161787419,0.0859531495627277,0.08683741098447086,0.0875238729712136,0.08797671139081016,0.0881573662867348,0.08803413093505286,0.08760996847234574,0.08700519437948914
1,2,19,0,0,0,0,0.047619047619047616,0.032100155123362936,0.03178919577913138,0.03177184525730134,0.032017846536742986,0.03250156435124802,0.03320418574754664,0.03411818593805581,0.035255220831225745,0.03665369184951402,0.0383748917161281
1,2,20,0,0,0,0.08333333333333333,0.047619047619047616,0.02659214877517011,0.0302243399955655,0.03372062736964567,0.03706078352791621,0.04022095753149122,0.04317378172124301,0.04588875038614096,0.04833354354800528,0.05048079367499673,0.052342295116443796
1,2,21,1,1,0.3333333333333333,0.08333333333333333,0.047619047619047616,0.14382976412115672,0.1370680083835378,0.13023914173137985,0.12333434258591017,0.11634191575308764,0.10924726292419543,0.10203061480643243,0.09465677116846903,0.08704395300203774,0.0790063503951549
1,3,1,1,1,0.06666666666666667,0.05,0.047619047619047616,0.057662931090864365,0.056364890749156835,0.05521490776615066,0.05419941693875533,0.0533047457095999,0.05252013566619464,0.05184463300839598,0.05129998361789898,0.050948916343045034,0.05091286758552497
1,3,2,1,1,0.06666666666666667,0.05,0.047619047619047616,0.09694794822145848,0.09371947137417153,0.09032563800651106,0.08676098940223054,0.0830223054294606,0.07910861448581775,0.07502091046312537,0.07076108480456916,0.06632787397983118,0.06169735078652241
1,3,4,0,1,0.06666666666666667,0.05,0.047619047619047616,0.02185756679677317,0.025588865506628096,0.029280580738021374,0.032926076204822075,0.036511597901496676,0.040012368104261675,0.043387722911974666,0.04657744017752688,0.04950278536396042,0.05205938574945442
