name,node_id,Degree,Between,Eigen,Closeness
1,1,2,36,0.31205629153709347,0.03333333333333333
2,2,3,35,0.7500900096216633,0.03225806451612903
3,3,3,6.666666666666668,0.8734770508931394,0.027777777777777776
4,4,4,18.833333333333332,1,0.02857142857142857
5,5,3,6.833333333333331,0.7949555103652904,0.023255813953488372
6,6,2,3.1666666666666656,0.4951722049409982,0.022727272727272728
7,7,2,0.5,0.44278066666839694,0.019230769230769232
8,8,3,36,0.1591467767920694,0.03225806451612903
9,9,2,12,0.0758244202953627,0.02702702702702703
10,10,2,12,0.07582442029536252,0.02702702702702703
11,11,3,6,0.06178244050219161,0.023255813953488372
12,12,3,6,0.06178244050219152,0.023255813953488372
13,13,2,0,0.042408313331159325,0.019230769230769232
