sub_id,from,to,from_face,to_face,edge,choice,confidence,rt_choice,rt_confidence
1,9,5,CFD-BF-201-080-N.jpg,CFD-WF-211-001-N.jpg,0,1,4,2482,528
1,9,2,CFD-BF-201-080-N.jpg,CFD-AF-224-026-N.jpg,0,0,1,3015,802
1,11,7,CFD-BM-208-065-N.jpg,CFD-AM-221-184-N.jpg,0,1,3,1625,567
1,11,2,CFD-BM-208-065-N.jpg,CFD-AF-224-026-N.jpg,0,0,3,1904,641
1,11,3,CFD-BM-208-065-N.jpg,CFD-BF-223-250-N.jpg,0,0,1,3637,1409
1,11,13,CFD-BM-208-065-N.jpg,CFD-LM-214-165-N.jpg,1,1,4,1433,343
1,7,11,CFD-AM-221-184-N.jpg,CFD-BM-208-065-N.jpg,0,0,1,3353,790
1,5,11,CFD-WF-211-001-N.jpg,CFD-BM-208-065-N.jpg,0,0,2,3531,978
1,3,13,CFD-BF-223-250-N.jpg,CFD-LM-214-165-N.jpg,0,0,3,4376,1108
1,13,9,CFD-LM-214-165-N.jpg,CFD-BF-201-080-N.jpg,0,0,3,2104,786
1,2,13,CFD-AF-224-026-N.jpg,CFD-LM-214-165-N.jpg,0,0,2,2583,956
1,2,11,CFD-AF-224-026-N.jpg,CFD-BM-208-065-N.jpg,0,0,2,2018,442
1,9,3,CFD-BF-201-080-N.jpg,CFD-BF-223-250-N.jpg,0,1,3,3309,592
1,11,5,CFD-BM-208-065-N.jpg,CFD-WF-211-001-N.jpg,0,0,2,1754,1119
1,13,8,CFD-LM-214-165-N.jpg,CFD-WM-232-070-N.jpg,0,1,3,2418,346
1,4,1,CFD-AF-228-173-N.jpg,CFD-LM-210-156-N.jpg,0,1,3,3409,430
1,13,2,CFD-LM-214-165-N.jpg,CFD-AF-224-026-N.jpg,0,1,1,2529,1210
1,6,9,CFD-WM-218-074-N.jpg,CFD-BF-201-080-N.jpg,0,0,4,2439,1109
1,2,6,CFD-AF-224-026-N.jpg,CFD-WM-218-074-N.jpg,0,0,4,1669,986
1,5,3,CFD-WF-211-001-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,2146,579
1,10,1,CFD-LF-239-148-N.jpg,CFD-LM-210-156-N.jpg,0,1,3,2848,787
1,6,4,CFD-WM-218-074-N.jpg,CFD-AF-228-173-N.jpg,1,0,2,2037,1011
1,13,6,CFD-LM-214-165-N.jpg,CFD-WM-218-074-N.jpg,0,1,3,2328,712
1,13,12,CFD-LM-214-165-N.jpg,CFD-BM-226-276-N.jpg,1,1,4,1350,794
1,2,3,CFD-AF-224-026-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,2038,802
1,12,6,CFD-BM-226-276-N.jpg,CFD-WM-218-074-N.jpg,0,0,3,3414,965
1,5,1,CFD-WF-211-001-N.jpg,CFD-LM-210-156-N.jpg,0,1,3,2065,638
1,7,8,CFD-AM-221-184-N.jpg,CFD-WM-232-070-N.jpg,0,0,2,3463,819
1,11,10,CFD-BM-208-065-N.jpg,CFD-LF-239-148-N.jpg,0,0,1,2271,1379
1,13,10,CFD-LM-214-165-N.jpg,CFD-LF-239-148-N.jpg,0,0,1,4648,1171
1,9,12,CFD-BF-201-080-N.jpg,CFD-BM-226-276-N.jpg,0,1,3,2388,621
1,12,9,CFD-BM-226-276-N.jpg,CFD-BF-201-080-N.jpg,0,1,3,1330,366
1,4,6,CFD-AF-228-173-N.jpg,CFD-WM-218-074-N.jpg,1,0,2,2313,1401
1,3,5,CFD-BF-223-250-N.jpg,CFD-WF-211-001-N.jpg,1,1,4,1711,758
1,10,3,CFD-LF-239-148-N.jpg,CFD-BF-223-250-N.jpg,0,1,1,3444,1054
1,8,9,CFD-WM-232-070-N.jpg,CFD-BF-201-080-N.jpg,1,1,4,3566,580
1,10,13,CFD-LF-239-148-N.jpg,CFD-LM-214-165-N.jpg,0,0,1,3872,1063
1,10,8,CFD-LF-239-148-N.jpg,CFD-WM-232-070-N.jpg,1,0,1,3522,772
1,13,1,CFD-LM-214-165-N.jpg,CFD-LM-210-156-N.jpg,0,1,4,2306,727
1,7,9,CFD-AM-221-184-N.jpg,CFD-BF-201-080-N.jpg,0,0,1,2794,703
1,6,10,CFD-WM-218-074-N.jpg,CFD-LF-239-148-N.jpg,0,1,1,3060,1836
1,2,9,CFD-AF-224-026-N.jpg,CFD-BF-201-080-N.jpg,0,1,4,1970,702
1,5,7,CFD-WF-211-001-N.jpg,CFD-AM-221-184-N.jpg,1,1,3,2070,371
1,6,1,CFD-WM-218-074-N.jpg,CFD-LM-210-156-N.jpg,0,1,3,3037,354
1,3,10,CFD-BF-223-250-N.jpg,CFD-LF-239-148-N.jpg,0,0,2,3249,945
1,4,8,CFD-AF-228-173-N.jpg,CFD-WM-232-070-N.jpg,0,1,1,2119,1309
1,8,3,CFD-WM-232-070-N.jpg,CFD-BF-223-250-N.jpg,0,1,2,3745,1544
1,12,2,CFD-BM-226-276-N.jpg,CFD-AF-224-026-N.jpg,0,1,3,2852,476
1,4,2,CFD-AF-228-173-N.jpg,CFD-AF-224-026-N.jpg,1,1,4,3048,543
1,10,12,CFD-LF-239-148-N.jpg,CFD-BM-226-276-N.jpg,1,1,4,2162,318
1,6,8,CFD-WM-218-074-N.jpg,CFD-WM-232-070-N.jpg,0,0,2,2531,1119
1,3,6,CFD-BF-223-250-N.jpg,CFD-WM-218-074-N.jpg,0,1,2,2264,667
1,4,3,CFD-AF-228-173-N.jpg,CFD-BF-223-250-N.jpg,1,1,3,1329,362
1,2,5,CFD-AF-224-026-N.jpg,CFD-WF-211-001-N.jpg,0,1,4,1948,349
1,2,7,CFD-AF-224-026-N.jpg,CFD-AM-221-184-N.jpg,0,0,3,3078,1915
1,13,4,CFD-LM-214-165-N.jpg,CFD-AF-228-173-N.jpg,0,1,3,2925,384
1,3,4,CFD-BF-223-250-N.jpg,CFD-AF-228-173-N.jpg,1,1,4,1898,350
1,6,2,CFD-WM-218-074-N.jpg,CFD-AF-224-026-N.jpg,0,0,3,1724,1841
1,12,8,CFD-BM-226-276-N.jpg,CFD-WM-232-070-N.jpg,0,1,3,3181,1429
1,2,1,CFD-AF-224-026-N.jpg,CFD-LM-210-156-N.jpg,1,1,4,1337,365
1,10,2,CFD-LF-239-148-N.jpg,CFD-AF-224-026-N.jpg,0,0,1,3875,587
1,1,3,CFD-LM-210-156-N.jpg,CFD-BF-223-250-N.jpg,0,0,3,2567,784
1,10,6,CFD-LF-239-148-N.jpg,CFD-WM-218-074-N.jpg,0,0,1,2611,1188
1,5,10,CFD-WF-211-001-N.jpg,CFD-LF-239-148-N.jpg,0,0,1,3785,940
1,10,5,CFD-LF-239-148-N.jpg,CFD-WF-211-001-N.jpg,0,0,1,1375,704
1,2,12,CFD-AF-224-026-N.jpg,CFD-BM-226-276-N.jpg,0,0,4,2457,950
1,7,4,CFD-AM-221-184-N.jpg,CFD-AF-228-173-N.jpg,0,0,3,1738,2342
1,1,11,CFD-LM-210-156-N.jpg,CFD-BM-208-065-N.jpg,0,1,4,1753,259
1,12,13,CFD-BM-226-276-N.jpg,CFD-LM-214-165-N.jpg,1,1,4,4067,317
1,10,11,CFD-LF-239-148-N.jpg,CFD-BM-208-065-N.jpg,0,1,3,2290,443
1,8,1,CFD-WM-232-070-N.jpg,CFD-LM-210-156-N.jpg,1,0,3,1723,1421
1,13,5,CFD-LM-214-165-N.jpg,CFD-WF-211-001-N.jpg,0,0,3,1830,737
1,3,9,CFD-BF-223-250-N.jpg,CFD-BF-201-080-N.jpg,0,1,4,2106,575
1,4,7,CFD-AF-228-173-N.jpg,CFD-AM-221-184-N.jpg,0,0,3,2074,1703
1,3,7,CFD-BF-223-250-N.jpg,CFD-AM-221-184-N.jpg,0,1,2,3333,1420
1,2,4,CFD-AF-224-026-N.jpg,CFD-AF-228-173-N.jpg,1,1,4,1609,573
1,4,10,CFD-AF-228-173-N.jpg,CFD-LF-239-148-N.jpg,0,0,2,3361,1714
1,13,11,CFD-LM-214-165-N.jpg,CFD-BM-208-065-N.jpg,1,1,4,2407,382
1,9,7,CFD-BF-201-080-N.jpg,CFD-AM-221-184-N.jpg,0,0,1,4595,1223
1,1,5,CFD-LM-210-156-N.jpg,CFD-WF-211-001-N.jpg,0,1,4,1474,399
1,1,9,CFD-LM-210-156-N.jpg,CFD-BF-201-080-N.jpg,0,0,3,1660,921
1,7,12,CFD-AM-221-184-N.jpg,CFD-BM-226-276-N.jpg,0,1,4,1884,336
1,11,6,CFD-BM-208-065-N.jpg,CFD-WM-218-074-N.jpg,0,0,2,4089,1576
1,1,12,CFD-LM-210-156-N.jpg,CFD-BM-226-276-N.jpg,0,1,3,1700,987
1,9,10,CFD-BF-201-080-N.jpg,CFD-LF-239-148-N.jpg,0,0,1,4039,978
1,5,13,CFD-WF-211-001-N.jpg,CFD-LM-214-165-N.jpg,0,0,2,2961,840
1,4,12,CFD-AF-228-173-N.jpg,CFD-BM-226-276-N.jpg,0,1,3,1991,547
1,5,12,CFD-WF-211-001-N.jpg,CFD-BM-226-276-N.jpg,0,1,3,1365,358
1,11,8,CFD-BM-208-065-N.jpg,CFD-WM-232-070-N.jpg,0,0,4,3801,1369
1,4,11,CFD-AF-228-173-N.jpg,CFD-BM-208-065-N.jpg,0,1,3,1850,600
1,1,8,CFD-LM-210-156-N.jpg,CFD-WM-232-070-N.jpg,1,0,3,1738,1953
1,11,12,CFD-BM-208-065-N.jpg,CFD-BM-226-276-N.jpg,1,1,4,1343,394
1,11,1,CFD-BM-208-065-N.jpg,CFD-LM-210-156-N.jpg,0,1,2,1525,1848
1,8,6,CFD-WM-232-070-N.jpg,CFD-WM-218-074-N.jpg,0,0,3,2885,1187
1,6,13,CFD-WM-218-074-N.jpg,CFD-LM-214-165-N.jpg,0,0,3,2434,821
3,4,11,CFD-BF-223-250-N.jpg,CFD-WM-208-068-N.jpg,0,0,2,10174,7877
3,3,7,CFD-BF-210-130-N.jpg,CFD-WM-209-038-N.jpg,0,1,2,3674,3082
3,9,10,CFD-AM-203-086-N.jpg,CFD-AF-252-135-N.jpg,0,1,3,3522,1866
3,8,2,CFD-AM-229-224-N.jpg,CFD-BM-203-001-N.jpg,0,0,2,3822,1606
3,6,12,CFD-LM-231-214-N.jpg,CFD-LM-212-143-N.jpg,0,1,3,4503,3194
3,5,11,CFD-LF-230-203-N.jpg,CFD-WM-208-068-N.jpg,0,0,2,10294,1364
3,8,11,CFD-AM-229-224-N.jpg,CFD-WM-208-068-N.jpg,0,1,3,3324,513
3,1,8,CFD-WF-214-122-N.jpg,CFD-AM-229-224-N.jpg,1,1,3,3925,1715
3,5,6,CFD-LF-230-203-N.jpg,CFD-LM-231-214-N.jpg,0,1,3,3331,1347
3,4,6,CFD-BF-223-250-N.jpg,CFD-LM-231-214-N.jpg,1,1,3,2019,617
3,8,1,CFD-AM-229-224-N.jpg,CFD-WF-214-122-N.jpg,1,1,3,2822,2573
3,9,12,CFD-AM-203-086-N.jpg,CFD-LM-212-143-N.jpg,0,1,2,5206,1801
3,8,9,CFD-AM-229-224-N.jpg,CFD-AM-203-086-N.jpg,1,1,3,1473,590
3,3,13,CFD-BF-210-130-N.jpg,CFD-LF-222-147-N.jpg,0,0,2,5298,1735
3,11,6,CFD-WM-208-068-N.jpg,CFD-LM-231-214-N.jpg,0,1,3,2459,675
