sub_id,trial_index,from,to,from_face,to_face
7,140,2,4,CFD-LM-249-001-N.jpg,CFD-WM-245-123-N.jpg
7,141,1,8,CFD-BM-210-148-N.jpg,CFD-LF-252-172-N.jpg
7,142,10,12,CFD-WM-202-107-N.jpg,CFD-BF-247-179-N.jpg
7,143,4,6,CFD-WM-245-123-N.jpg,CFD-BM-200-046-N.jpg
7,144,9,11,CFD-BF-216-132-N.jpg,CFD-WF-235-121-N.jpg
7,145,3,5,CFD-AM-204-122-N.jpg,CFD-AF-216-106-N.jpg
7,146,11,13,CFD-WF-235-121-N.jpg,CFD-LM-200-045-N.jpg
7,147,2,3,CFD-LM-249-001-N.jpg,CFD-AM-204-122-N.jpg
7,148,8,9,CFD-LF-252-172-N.jpg,CFD-BF-216-132-N.jpg
7,149,11,12,CFD-WF-235-121-N.jpg,CFD-BF-247-179-N.jpg
7,150,8,10,CFD-LF-252-172-N.jpg,CFD-WM-202-107-N.jpg
7,151,3,4,CFD-AM-204-122-N.jpg,CFD-WM-245-123-N.jpg
7,152,12,13,CFD-BF-247-179-N.jpg,CFD-LM-200-045-N.jpg
7,153,5,7,CFD-AF-216-106-N.jpg,CFD-AM-252-114-N.jpg
7,154,1,2,CFD-BM-210-148-N.jpg,CFD-LM-249-001-N.jpg
7,155,11,12,CFD-WF-235-121-N.jpg,CFD-BF-247-179-N.jpg
7,156,4,5,CFD-WM-245-123-N.jpg,CFD-AF-216-106-N.jpg
7,157,3,4,CFD-AM-204-122-N.jpg,CFD-WM-245-123-N.jpg
7,158,10,12,CFD-WM-202-107-N.jpg,CFD-BF-247-179-N.jpg
7,159,8,9,CFD-LF-252-172-N.jpg,CFD-BF-216-132-N.jpg
7,160,12,13,CFD-BF-247-179-N.jpg,CFD-LM-200-045-N.jpg
7,161,1,8,CFD-BM-210-148-N.jpg,CFD-LF-252-172-N.jpg
7,162,2,4,CFD-LM-249-001-N.jpg,CFD-WM-245-123-N.jpg
7,163,11,13,CFD-WF-235-121-N.jpg,CFD-LM-200-045-N.jpg
7,164,3,5,CFD-AM-204-122-N.jpg,CFD-AF-216-106-N.jpg
7,165,4,6,CFD-WM-245-123-N.jpg,CFD-BM-200-046-N.jpg
7,166,6,7,CFD-BM-200-046-N.jpg,CFD-AM-252-114-N.jpg
7,167,8,10,CFD-LF-252-172-N.jpg,CFD-WM-202-107-N.jpg
7,168,9,11,CFD-BF-216-132-N.jpg,CFD-WF-235-121-N.jpg
7,169,2,3,CFD-LM-249-001-N.jpg,CFD-AM-204-122-N.jpg
7,170,5,7,CFD-AF-216-106-N.jpg,CFD-AM-252-114-N.jpg
8,1,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,2,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,3,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,4,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,5,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,6,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,7,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,8,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,9,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,10,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,11,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,12,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,13,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,14,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,15,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,16,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,17,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,18,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,19,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,20,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,21,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,22,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,23,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,24,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,25,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,26,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,27,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,28,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,29,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,30,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,31,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,32,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,33,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,34,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,35,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,36,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,37,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,38,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,39,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,40,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,41,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,42,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,43,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,44,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,45,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,46,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,47,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,48,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,49,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,50,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,51,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,52,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,53,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,54,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,55,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,56,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,57,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,58,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,59,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,60,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,61,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,62,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,63,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,64,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,65,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,66,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,67,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,68,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,69,6,7,CFD-WF-223-133-N.jpg,CFD-AM-242-176-N.jpg
8,70,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,71,11,12,CFD-BF-241-222-N.jpg,CFD-BM-237-188-N.jpg
8,72,8,10,CFD-AM-229-224-N.jpg,CFD-LM-211-128-N.jpg
8,73,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,74,3,4,CFD-AF-228-173-N.jpg,CFD-WM-229-129-N.jpg
8,75,9,11,CFD-WM-245-123-N.jpg,CFD-BF-241-222-N.jpg
8,76,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,77,4,6,CFD-WM-229-129-N.jpg,CFD-WF-223-133-N.jpg
8,78,1,2,CFD-LF-230-203-N.jpg,CFD-WF-208-068-N.jpg
8,79,3,5,CFD-AF-228-173-N.jpg,CFD-LM-216-082-N.jpg
8,80,1,8,CFD-LF-230-203-N.jpg,CFD-AM-229-224-N.jpg
8,81,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
8,82,2,4,CFD-WF-208-068-N.jpg,CFD-WM-229-129-N.jpg
8,83,11,13,CFD-BF-241-222-N.jpg,CFD-BF-244-231-N.jpg
8,84,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,85,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,86,2,3,CFD-WF-208-068-N.jpg,CFD-AF-228-173-N.jpg
8,87,8,9,CFD-AM-229-224-N.jpg,CFD-WM-245-123-N.jpg
8,88,5,7,CFD-LM-216-082-N.jpg,CFD-AM-242-176-N.jpg
8,89,10,12,CFD-LM-211-128-N.jpg,CFD-BM-237-188-N.jpg
8,90,12,13,CFD-BM-237-188-N.jpg,CFD-BF-244-231-N.jpg
8,91,4,5,CFD-WM-229-129-N.jpg,CFD-LM-216-082-N.jpg
