subject,age,gender,total_group,mutual,response
39,60,male,few,half,-1
40,26,male,few,half,1
41,35,male,few,half,-1
42,42,female,few,half,0
43,22,female,few,half,-1
44,61,female,few,half,0
45,37,male,few,half,1
46,26,male,few,half,2
47,39,female,few,half,1
48,46,male,few,half,1
49,32,male,few,half,1
50,45,male,few,half,0
51,63,female,few,half,1
52,42,male,few,half,1
53,27,male,few,half,1
54,33,male,few,half,1
55,28,male,few,half,0
56,23,male,few,half,1
57,43,female,few,half,-2
58,38,female,few,half,1
59,,male,few,half,-1
60,42,female,few,half,1
61,44,male,few,half,1
62,35,male,few,half,-1
63,40,female,few,half,-1
64,30,female,few,half,1
65,39,male,few,half,-1
66,31,female,few,half,-1
67,25,male,few,half,1
68,33,male,few,half,0
69,38,female,few,half,1
70,26,male,few,half,1
71,24,male,few,half,2
72,71,male,few,half,0
73,32,male,few,half,0
74,59,male,few,half,1
75,52,male,few,half,1
76,32,male,few,half,1
77,24,female,few,half,2
78,36,male,few,half,-3
79,59,male,few,half,1
80,42,male,few,half,1
81,49,female,few,half,0
82,57,female,few,half,1
83,79,male,few,half,1
84,55,female,few,half,2
85,55,male,few,half,2
86,72,female,few,half,-2
87,56,female,few,half,1
88,65,male,few,half,2
89,30,male,few,half,-1
90,37,female,few,half,1
91,41,male,few,half,-2
92,25,male,few,half,1
93,44,female,few,half,0
94,40,male,few,half,1
95,24,male,few,half,-2
96,26,female,few,half,1
97,34,female,few,half,1
98,25,male,few,half,1
99,43,male,few,half,1
100,45,female,few,half,1
101,40,female,few,half,1
102,39,male,few,half,1
103,32,male,few,half,1
104,39,female,few,half,0
105,28,male,few,half,0
106,35,male,few,half,-2
107,26,male,few,half,2
108,39,male,few,half,1
109,24,male,few,half,1
110,37,female,few,half,1
111,27,male,few,half,0
112,30,female,few,half,2
113,32,male,few,half,1
114,32,male,few,half,1
115,41,male,few,half,-2
116,23,male,few,half,-1
117,33,male,few,half,0
118,38,female,few,half,1
119,33,female,few,half,2
120,44,female,few,half,1
121,33,female,few,half,1
122,43,male,few,half,0
123,37,female,few,half,0
124,42,male,few,half,1
125,53,female,few,half,1
126,51,female,few,half,-1
127,37,male,few,half,0
128,36,male,few,half,1
129,35,male,few,half,0
130,29,male,few,half,-1
131,38,male,few,half,1
132,26,male,few,half,2
133,35,male,few,half,0
134,33,male,few,half,1
135,32,male,few,half,1
136,58,male,few,half,1
137,29,male,few,half,2
138,21,male,few,half,1
139,45,female,few,half,1
140,30,male,few,half,1
141,39,male,few,half,0
142,30,male,few,half,0
143,60,male,few,half,1
144,37,female,few,half,1
145,36,female,few,half,0
146,38,male,few,half,-1
147,33,male,few,half,-1
148,36,male,few,half,1
149,37,male,few,half,1
150,35,female,few,half,1
151,26,male,few,half,1
152,24,male,few,half,0
153,26,male,few,half,0
154,,female,few,half,-1
155,34,male,few,half,1
156,39,female,few,half,-1
157,22,female,few,half,1
158,39,male,few,half,1
159,31,female,few,half,1
160,30,male,few,half,-1
161,39,male,few,half,0
