param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.3526405955572744,30.220268276473043,converged,1
w_mem,2.3450582813905436,30.220268276473043,converged,1
w_sr,-1.0616062366883119,30.220268276473043,converged,1
sr_gamma,-18.07152264761541,30.220268276473043,converged,1
w_naught,-0.3688337326836679,30.248684596783654,converged,2
w_mem,1.1602225085091855,30.248684596783654,converged,2
w_sr,1.0185722788772498,30.248684596783654,converged,2
sr_gamma,1.6550235653124346,30.248684596783654,converged,2
w_naught,-0.35276216436097274,30.22026954047567,converged,3
w_mem,2.3455553983108235,30.22026954047567,converged,3
w_sr,-1.0620854374510027,30.22026954047567,converged,3
sr_gamma,-12.93554856615053,30.22026954047567,converged,3
w_naught,-0.36271423879233583,30.28188621742001,converged,4
w_mem,1.2571527716997517,30.28188621742001,converged,4
w_sr,0.45066675244690196,30.28188621742001,converged,4
sr_gamma,1.3980489400567144,30.28188621742001,converged,4
w_naught,-0.35278039071271294,30.220273290544355,converged,5
w_mem,2.3441389911798014,30.220273290544355,converged,5
w_sr,-1.0603782375828745,30.220273290544355,converged,5
sr_gamma,-12.070359107809088,30.220273290544355,converged,5
w_naught,-0.3571816821114095,30.36653217941999,converged,6
w_mem,1.2870880728079954,30.36653217941999,converged,6
w_sr,0.11536767493170114,30.36653217941999,converged,6
sr_gamma,-0.6408665722646409,30.36653217941999,converged,6
w_naught,-0.3689509422884961,30.248677824062582,converged,7
w_mem,1.1612337637956696,30.248677824062582,converged,7
w_sr,0.9998009665939838,30.248677824062582,converged,7
sr_gamma,1.632729284412084,30.248677824062582,converged,7
w_naught,-0.35273778652904053,30.220268778146053,converged,8
w_mem,2.3420649130435844,30.220268778146053,converged,8
w_sr,-1.058341620515448,30.220268778146053,converged,8
sr_gamma,-13.39700774023564,30.220268778146053,converged,8
w_naught,-0.3556935286380799,30.3696422335975,converged,9
w_mem,1.3403740649121774,30.3696422335975,converged,9
w_sr,0.028604100712109254,30.3696422335975,converged,9
sr_gamma,-0.8172302568384531,30.3696422335975,converged,9
w_naught,-0.35273375350152614,30.220266228290704,converged,10
w_mem,2.3450088642031788,30.220266228290704,converged,10
w_sr,-1.0614910205036863,30.220266228290704,converged,10
sr_gamma,-18.448221664117547,30.220266228290704,converged,10
w_naught,-0.356854643262692,30.367517618266856,converged,11
w_mem,1.2929474894886208,30.367517618266856,converged,11
w_sr,0.10356183604864484,30.367517618266856,converged,11
sr_gamma,-0.6842445871728471,30.367517618266856,converged,11
w_naught,-0.35617392952958227,30.369207029029806,converged,12
w_mem,1.3239703078774978,30.369207029029806,converged,12
w_sr,0.05471978538928317,30.369207029029806,converged,12
sr_gamma,-0.7835596482978359,30.369207029029806,converged,12
w_naught,-0.35810875602712033,30.360638593422404,converged,13
w_mem,1.2577730657541042,30.360638593422404,converged,13
w_sr,0.16985006192509433,30.360638593422404,converged,13
sr_gamma,-0.45354185336379715,30.360638593422404,converged,13
w_naught,-0.352709334114799,30.220266988348413,converged,14
w_mem,2.345368232275333,30.220266988348413,converged,14
w_sr,-1.0619802310808906,30.220266988348413,converged,14
sr_gamma,-14.159296920082623,30.220266988348413,converged,14
w_naught,-0.3686955615393426,30.248667853921727,converged,15
w_mem,1.1625129166048809,30.248667853921727,converged,15
w_sr,0.9997936412573747,30.248667853921727,converged,15
sr_gamma,1.645310198221774,30.248667853921727,converged,15
w_naught,-0.3565991578987141,30.36736366231689,converged,16
w_mem,1.298832451208118,30.36736366231689,converged,16
w_sr,0.09371666037346532,30.36736366231689,converged,16
sr_gamma,-0.6725221599772263,30.36736366231689,converged,16
w_naught,-0.36881046444984744,30.248671013785845,converged,17
w_mem,1.1633176104100116,30.248671013785845,converged,17
w_sr,1.0074108688378862,30.248671013785845,converged,17
sr_gamma,1.6599400299767346,30.248671013785845,converged,17
w_naught,-0.3687336771337638,30.248667804294538,converged,18
w_mem,1.1626353097397066,30.248667804294538,converged,18
w_sr,1.0021478608166168,30.248667804294538,converged,18
sr_gamma,1.6458093222078214,30.248667804294538,converged,18
w_naught,-0.371139136392329,30.254839903165152,converged,19
w_mem,1.1304015323960943,30.254839903165152,converged,19
w_sr,1.2688819044061606,30.254839903165152,converged,19
sr_gamma,1.766614512399952,30.254839903165152,converged,19
w_naught,-0.35264993713799925,30.220268457785235,converged,20
w_mem,2.3454631838894784,30.220268457785235,converged,20
w_sr,-1.0620729183762865,30.220268457785235,converged,20
sr_gamma,-13.953266146695219,30.220268457785235,converged,20
w_naught,-0.35506799224329766,30.369887787337674,converged,21
w_mem,1.380464030263653,30.369887787337674,converged,21
w_sr,-0.029063717987520353,30.369887787337674,converged,21
sr_gamma,-0.9699108889667134,30.369887787337674,converged,21
w_naught,-0.35223758194071686,30.232928846920014,converged,22
w_mem,2.349473411821725,30.232928846920014,converged,22
w_sr,-1.0771299218908308,30.232928846920014,converged,22
sr_gamma,-4.47467196926366,30.232928846920014,converged,22
w_naught,-0.3609624651298555,30.353057520650143,converged,23
w_mem,1.1875550756114308,30.353057520650143,converged,23
w_sr,0.30563063201745294,30.353057520650143,converged,23
sr_gamma,-0.29242240131440916,30.353057520650143,converged,23
w_naught,-0.3688280411142712,30.248663192967033,converged,24
w_mem,1.1624596709961492,30.248663192967033,converged,24
w_sr,1.004272432951687,30.248663192967033,converged,24
sr_gamma,1.6481048258650302,30.248663192967033,converged,24
w_naught,-0.36914853278999843,30.248681874950496,converged,25
w_mem,1.1612831016373415,30.248681874950496,converged,25
w_sr,1.0145538361739663,30.248681874950496,converged,25
sr_gamma,1.6488082155462607,30.248681874950496,converged,25
