param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.03207793095701803,1156.382700947583,converged,1
w_mem,-4.618544397820202,1156.382700947583,converged,1
w_sr,5.215225140887771,1156.382700947583,converged,1
sr_gamma,-8.755014688928132,1156.382700947583,converged,1
w_naught,-0.03208198163572733,1156.4361099567373,converged,2
w_mem,-4.636491787616507,1156.4361099567373,converged,2
w_sr,5.234146968169123,1156.4361099567373,converged,2
sr_gamma,-20.780406529367667,1156.4361099567373,converged,2
w_naught,-0.03591460109873484,1153.2306930424104,converged,3
w_mem,-4.452181769757482,1153.2306930424104,converged,3
w_sr,5.129292194355284,1153.2306930424104,converged,3
sr_gamma,-3.935337886266785,1153.2306930424104,converged,3
w_naught,-0.03213425924530969,1156.3160425500066,converged,4
w_mem,-4.60357566115896,1156.3160425500066,converged,4
w_sr,5.200073604276183,1156.3160425500066,converged,4
sr_gamma,-7.930403773787007,1156.3160425500066,converged,4
w_naught,-0.04159339931449369,1221.0315107132278,converged,5
w_mem,-0.13983374691612543,1221.0315107132278,converged,5
w_sr,0.7816501095749129,1221.0315107132278,converged,5
sr_gamma,0.521932401939129,1221.0315107132278,converged,5
w_naught,-0.04221913321097099,1222.1129358822398,converged,6
w_mem,-0.11960093960136081,1222.1129358822398,converged,6
w_sr,0.8647415171263966,1222.1129358822398,converged,6
sr_gamma,0.8323780128687406,1222.1129358822398,converged,6
w_naught,-0.044376831815461155,1205.9762627024932,converged,7
w_mem,-0.8126168466282547,1205.9762627024932,converged,7
w_sr,1.4332458980993692,1205.9762627024932,converged,7
sr_gamma,-0.9769712955638865,1205.9762627024932,converged,7
w_naught,-0.03207198377229519,1156.4361064538782,converged,8
w_mem,-4.636627967609627,1156.4361064538782,converged,8
w_sr,5.234341465976533,1156.4361064538782,converged,8
sr_gamma,-16.826519980191367,1156.4361064538782,converged,8
w_naught,-0.032325770376185725,1155.8390090691619,converged,9
w_mem,-4.497855904382005,1155.8390090691619,converged,9
w_sr,5.092627121270817,1155.8390090691619,converged,9
sr_gamma,-6.213185439965933,1155.8390090691619,converged,9
w_naught,-0.03590891835993615,1153.2306879797775,converged,10
w_mem,-4.450906390641965,1153.2306879797775,converged,10
w_sr,5.128010297351027,1153.2306879797775,converged,10
sr_gamma,-3.933432114316142,1153.2306879797775,converged,10
w_naught,-0.03590559047045573,1153.2306944011175,converged,11
w_mem,-4.453936244431752,1153.2306944011175,converged,11
w_sr,5.131095473678062,1153.2306944011175,converged,11
sr_gamma,-3.9356713453388052,1153.2306944011175,converged,11
w_naught,-0.03206196271470452,1156.4360002178462,converged,12
w_mem,-4.633640742402596,1156.4360002178462,converged,12
w_sr,5.23104322791573,1156.4360002178462,converged,12
sr_gamma,-14.741951302356386,1156.4360002178462,converged,12
w_naught,-0.0320793232451336,1156.425976449306,converged,13
w_mem,-4.6308962189670995,1156.425976449306,converged,13
w_sr,5.228086328894987,1156.425976449306,converged,13
sr_gamma,-10.431171786824354,1156.425976449306,converged,13
w_naught,-0.032122015808571006,1156.3396414564004,converged,14
w_mem,-4.601598195286833,1156.3396414564004,converged,14
w_sr,5.19727199984421,1156.3396414564004,converged,14
sr_gamma,-8.141872614409683,1156.3396414564004,converged,14
w_naught,-0.03862118633391376,1230.370240845851,converged,15
w_mem,0.04028703118791167,1230.370240845851,converged,15
w_sr,10.076997335078879,1230.370240845851,converged,15
sr_gamma,220.1249586286761,1230.370240845851,converged,15
w_naught,-0.03206991524508905,1156.4361134669407,converged,16
w_mem,-4.633538521249176,1156.4361134669407,converged,16
w_sr,5.230882766930173,1156.4361134669407,converged,16
sr_gamma,-20.82505264408676,1156.4361134669407,converged,16
w_naught,-0.03749549902522724,1153.8646812567365,converged,17
w_mem,-4.641298610873095,1153.8646812567365,converged,17
w_sr,5.374306684364892,1153.8646812567365,converged,17
sr_gamma,-3.649714250020698,1153.8646812567365,converged,17
w_naught,-0.03206960696089145,1156.4264776772775,converged,18
w_mem,-4.629943065180898,1156.4264776772775,converged,18
w_sr,5.227095915826531,1156.4264776772775,converged,18
sr_gamma,-10.47834637694217,1156.4264776772775,converged,18
w_naught,-0.04170319803121582,1223.9942653793544,converged,19
w_mem,-0.03886073239176535,1223.9942653793544,converged,19
w_sr,1.2669210078241597,1223.9942653793544,converged,19
