param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.010090321024261013,47.93554521778203,converged,1
w_mem,0.2106875432144415,47.93554521778203,converged,1
w_sr,0.389245662155293,47.93554521778203,converged,1
sr_gamma,-10.116101983182645,47.93554521778203,converged,1
w_naught,-0.014517851992841717,48.08885935022706,converged,2
w_mem,0.4136861773791509,48.08885935022706,converged,2
w_sr,0.24137034876967825,48.08885935022706,converged,2
sr_gamma,-0.4530934818046442,48.08885935022706,converged,2
w_naught,-0.010007881198911637,47.93560357901797,converged,3
w_mem,0.21074240863239646,47.93560357901797,converged,3
w_sr,0.38883406605181203,47.93560357901797,converged,3
sr_gamma,-6.896876533649667,47.93560357901797,converged,3
w_naught,-0.010030434111461622,47.935550867207944,converged,4
w_mem,0.21185494280698985,47.935550867207944,converged,4
w_sr,0.38785501965653085,47.935550867207944,converged,4
sr_gamma,-9.329363757576209,47.935550867207944,converged,4
w_naught,-0.010107523965578801,47.93570279309634,converged,5
w_mem,0.21108044075628385,47.93570279309634,converged,5
w_sr,0.38917994060653416,47.93570279309634,converged,5
sr_gamma,-5.896230752985792,47.93570279309634,converged,5
w_naught,-0.010036583577833953,47.93555972514779,converged,6
w_mem,0.21070538833644178,47.93555972514779,converged,6
w_sr,0.3890441210023402,47.93555972514779,converged,6
sr_gamma,-8.080692719614895,47.93555972514779,converged,6
w_naught,-0.010037310993956005,47.9355432335432,converged,7
w_mem,0.2107248250419635,47.9355432335432,converged,7
w_sr,0.3889863543311546,47.9355432335432,converged,7
sr_gamma,-11.25876242099217,47.9355432335432,converged,7
w_naught,-0.010014649534901533,47.935545920589014,converged,8
w_mem,0.21024132677637158,47.935545920589014,converged,8
w_sr,0.3890981885937367,47.935545920589014,converged,8
sr_gamma,-10.68792750497909,47.935545920589014,converged,8
w_naught,-0.012388833224118254,47.956525695708,converged,9
w_mem,0.2079121578583271,47.956525695708,converged,9
w_sr,0.4348443996737686,47.956525695708,converged,9
sr_gamma,-2.063856143982492,47.956525695708,converged,9
w_naught,-0.0100175127712083,47.93554472528245,converged,10
w_mem,0.20978229694767653,47.93554472528245,converged,10
w_sr,0.39021725552300807,47.93554472528245,converged,10
sr_gamma,-41.669682459184486,47.93554472528245,converged,10
w_naught,-0.014058211947337036,48.00649031602406,converged,11
w_mem,0.29393228830839335,48.00649031602406,converged,11
w_sr,0.3707685704153211,48.00649031602406,converged,11
sr_gamma,-1.1931247526427446,48.00649031602406,converged,11
w_naught,-0.010035560753964372,47.93555242322392,converged,12
w_mem,0.21068551029264246,47.93555242322392,converged,12
w_sr,0.389213213412542,47.93555242322392,converged,12
sr_gamma,-8.636196018921545,47.93555242322392,converged,12
w_naught,-0.010045415479803331,47.93554303293667,converged,13
w_mem,0.2100691621227127,47.93554303293667,converged,13
w_sr,0.38982658751962546,47.93554303293667,converged,13
sr_gamma,-11.72214775501601,47.93554303293667,converged,13
w_naught,-0.010105112429603855,47.935723599286206,converged,14
w_mem,0.20929140334177987,47.935723599286206,converged,14
w_sr,0.3919466465431898,47.935723599286206,converged,14
sr_gamma,-5.7724706508475485,47.935723599286206,converged,14
w_naught,-0.010060891709952455,47.93554711834882,converged,15
w_mem,0.21017432670894537,47.93554711834882,converged,15
w_sr,0.3898956326500981,47.93554711834882,converged,15
sr_gamma,-9.45005708083379,47.93554711834882,converged,15
w_naught,-0.01008290679120295,47.93554975832701,converged,16
w_mem,0.21033444967621828,47.93554975832701,converged,16
w_sr,0.38984873475110404,47.93554975832701,converged,16
sr_gamma,-9.060237980411198,47.93554975832701,converged,16
w_naught,-0.010153336221189274,47.93556937897403,converged,17
w_mem,0.21053244809445618,47.93556937897403,converged,17
w_sr,0.3896136936538226,47.93556937897403,converged,17
sr_gamma,-7.865202557629244,47.93556937897403,converged,17
w_naught,-0.010044471143718306,47.935544937061174,converged,18
w_mem,0.2100459864347483,47.935544937061174,converged,18
w_sr,0.3897710388504794,47.935544937061174,converged,18
sr_gamma,-10.010689006246503,47.935544937061174,converged,18
w_naught,-0.010052289657225983,47.93554492083196,converged,19
w_mem,0.2106311497384491,47.93554492083196,converged,19
w_sr,0.3893154127677874,47.93554492083196,converged,19
sr_gamma,-9.96953186707172,47.93554492083196,converged,19
w_naught,-0.011369973384493415,48.151437764404115,converged,20
w_mem,0.5494053633499143,48.151437764404115,converged,20
w_sr,0.04381463515323992,48.151437764404115,converged,20
sr_gamma,0.30717744344935694,48.151437764404115,converged,20
w_naught,-0.010106828459092786,47.935552357887985,converged,21
w_mem,0.20994098684910445,47.935552357887985,converged,21
w_sr,0.38980926784613606,47.935552357887985,converged,21
sr_gamma,-8.923687662819447,47.935552357887985,converged,21
w_naught,-0.00988704278384068,47.93580233112522,converged,22
w_mem,0.20998785808191872,47.93580233112522,converged,22
w_sr,0.38912074972395566,47.93580233112522,converged,22
sr_gamma,-5.666144975405154,47.93580233112522,converged,22
w_naught,-0.015214980893449795,48.02936922655685,converged,23
w_mem,0.2650133956825967,48.02936922655685,converged,23
w_sr,0.4194070766426723,48.02936922655685,converged,23
sr_gamma,-1.0040035207970848,48.02936922655685,converged,23
w_naught,-0.010077034213794783,47.93554690303366,converged,24
w_mem,0.2117681579522098,47.93554690303366,converged,24
w_sr,0.3882292431291106,47.93554690303366,converged,24
sr_gamma,-10.2595394139308,47.93554690303366,converged,24
w_naught,-0.010029621637365205,47.93556154769714,converged,25
w_mem,0.2093772463607368,47.93556154769714,converged,25
w_sr,0.3910916499469982,47.93556154769714,converged,25
sr_gamma,-8.369906634061362,47.93556154769714,converged,25
