param_name,param_value,optim_value,convergence,optimizer_run
w_naught,3.222172278783873e-5,1.2089825500383465e-10,converged,1
w_mem,-4.454455023546136e-5,1.2089825500383465e-10,converged,1
w_naught,1.802618243698101e-5,2.010771950622507e-11,converged,2
w_mem,-1.3332281665352866e-5,2.010771950622507e-11,converged,2
w_naught,2.36616615201022e-5,8.916995989362111e-11,converged,3
w_mem,4.0857982958641544e-5,8.916995989362111e-11,converged,3
w_naught,3.1550114666101695e-5,1.8688603616520156e-10,converged,4
w_mem,6.063613748158662e-5,1.8688603616520156e-10,converged,4
w_naught,2.3365024925261444e-6,4.897485214778682e-11,converged,5
w_mem,3.491292110089171e-5,4.897485214778682e-11,converged,5
w_naught,-1.2288328649667668e-5,2.1958522556978787e-11,converged,6
w_mem,-1.9948935884458258e-5,2.1958522556978787e-11,converged,6
w_naught,1.4384296557279032e-5,9.534407353265578e-12,converged,7
w_mem,5.6082257786121635e-6,9.534407353265578e-12,converged,7
w_naught,-7.315039565184251e-5,2.1474638257104047e-10,converged,8
w_mem,-4.2046617289517404e-6,2.1474638257104047e-10,converged,8
w_naught,-2.5410917858853242e-5,3.3964122253287986e-10,converged,9
w_mem,-8.857378741418146e-5,3.3964122253287986e-10,converged,9
w_naught,1.8037169333653108e-5,9.109011955303206e-11,converged,10
w_mem,-4.418046526752435e-5,9.109011955303206e-11,converged,10
w_naught,-7.480601237587487e-6,4.272518905989938e-11,converged,11
w_mem,3.181462449286002e-5,4.272518905989938e-11,converged,11
w_naught,-3.726186825432855e-6,1.6683803846230617e-11,converged,12
w_mem,-2.0080105276062076e-5,1.6683803846230617e-11,converged,12
w_naught,-1.4694024513203687e-5,3.731912129907678e-10,converged,13
w_mem,9.546656989949185e-5,3.731912129907678e-10,converged,13
w_naught,1.6301551884627243e-5,3.490734317949267e-11,converged,14
w_mem,-2.463621289159766e-5,3.490734317949267e-11,converged,14
w_naught,2.5873932285953543e-5,1.2206944814519392e-10,converged,15
w_mem,4.8808563098002984e-5,1.2206944814519392e-10,converged,15
w_naught,4.4216746875583655e-6,1.5089149282940085e-11,converged,16
w_mem,-1.8912364342696757e-5,1.5089149282940085e-11,converged,16
w_naught,2.4895409544142277e-6,1.259147710362443e-12,converged,17
w_mem,5.028009406848337e-6,1.259147710362443e-12,converged,17
w_naught,-1.4953647096219952e-4,9.324910650795783e-10,converged,18
w_mem,-3.0840241230585674e-5,9.324910650795783e-10,converged,18
w_naught,3.0958028696109674e-5,1.5572110427953007e-10,converged,19
w_mem,5.417220750753196e-5,1.5572110427953007e-10,converged,19
w_naught,3.5097771069719934e-5,4.631744418977181e-10,converged,20
w_mem,-1.0172269910585583e-4,4.631744418977181e-10,converged,20
w_naught,-1.176663435361727e-5,6.295628195141738e-12,converged,21
w_mem,-4.351668745069796e-6,6.295628195141738e-12,converged,21
w_naught,-2.030560427012074e-5,1.8924009700376175e-11,converged,22
w_mem,7.796324629891876e-6,1.8924009700376175e-11,converged,22
w_naught,-5.710914798375338e-6,4.193587062001659e-12,converged,23
w_mem,-8.498536857350154e-6,4.193587062001659e-12,converged,23
w_naught,1.987873658521585e-5,2.1543761111288256e-11,converged,24
w_mem,-1.19762205873893e-5,2.1543761111288256e-11,converged,24
w_naught,-1.8341068768303344e-5,1.881753946035501e-11,converged,25
w_mem,-1.1577723564900095e-5,1.881753946035501e-11,converged,25
