param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.03700472183031808,810.876192486073,converged,1
w_sr,0.18056223818967926,810.876192486073,converged,1
sr_gamma,-9.811705837040996,810.876192486073,converged,1
w_naught,-0.03929025275778898,814.7703928315623,converged,2
w_sr,0.25428199235480764,814.7703928315623,converged,2
sr_gamma,-0.6568618843903613,814.7703928315623,converged,2
w_naught,-0.03698534200203843,810.8758825702188,converged,3
w_sr,0.1803726101180821,810.8758825702188,converged,3
sr_gamma,-11.769501757611595,810.8758825702188,converged,3
w_naught,-0.036975029426468034,810.8758290166285,converged,4
w_sr,0.18043502245607732,810.8758290166285,converged,4
sr_gamma,-14.110547546531851,810.8758290166285,converged,4
w_naught,-0.03696667154134052,810.8758490041074,converged,5
w_sr,0.180386321314554,810.8758490041074,converged,5
sr_gamma,-13.003212032225507,810.8758490041074,converged,5
w_naught,-0.036976568342629065,810.8760298987113,converged,6
w_sr,0.1803383224739743,810.8760298987113,converged,6
sr_gamma,-10.35652085136239,810.8760298987113,converged,6
w_naught,-0.03700081497386264,810.8758969806969,converged,7
w_sr,0.18055340283290702,810.8758969806969,converged,7
sr_gamma,-11.997670761910237,810.8758969806969,converged,7
w_naught,-0.03699298749935003,810.8758540496316,converged,8
w_sr,0.18049070426641195,810.8758540496316,converged,8
sr_gamma,-12.569835006455632,810.8758540496316,converged,8
w_naught,-0.03697541408003332,810.8758746636602,converged,9
w_sr,0.18047723268064134,810.8758746636602,converged,9
sr_gamma,-11.844944775750305,810.8758746636602,converged,9
w_naught,-0.036971254460770035,810.8758517164301,converged,10
w_sr,0.18040892131986527,810.8758517164301,converged,10
sr_gamma,-12.419896258241875,810.8758517164301,converged,10
w_naught,-0.0369854240973509,810.8758999508948,converged,11
w_sr,0.18048884135900273,810.8758999508948,converged,11
sr_gamma,-11.305957544996712,810.8758999508948,converged,11
w_naught,-0.036978524222780154,810.8758475119637,converged,12
w_sr,0.18035542869268065,810.8758475119637,converged,12
sr_gamma,-13.044001660710805,810.8758475119637,converged,12
w_naught,-0.036977609923055946,810.8758288345512,converged,13
w_sr,0.18043739874443615,810.8758288345512,converged,13
sr_gamma,-13.758932794976747,810.8758288345512,converged,13
w_naught,-0.036991753096809535,810.8759119329421,converged,14
w_sr,0.1805129338166991,810.8759119329421,converged,14
sr_gamma,-11.258798303049822,810.8759119329421,converged,14
w_naught,-0.0369875144447364,810.8758557885155,converged,15
w_sr,0.18042855294448057,810.8758557885155,converged,15
sr_gamma,-12.20005689154601,810.8758557885155,converged,15
w_naught,-0.036977967476466055,810.8758280630996,converged,16
w_sr,0.18039859054722884,810.8758280630996,converged,16
sr_gamma,-14.1214106305741,810.8758280630996,converged,16
w_naught,-0.036982941548075576,810.8759186307117,converged,17
w_sr,0.18046646867913793,810.8759186307117,converged,17
sr_gamma,-11.034526321052757,810.8759186307117,converged,17
w_naught,-0.036997904544347184,810.875866074221,converged,18
w_sr,0.1804296455282863,810.875866074221,converged,18
sr_gamma,-12.765743901306474,810.875866074221,converged,18
w_naught,-0.03698885929643273,810.8758458450416,converged,19
w_sr,0.18045122739478087,810.8758458450416,converged,19
sr_gamma,-12.611176319484477,810.8758458450416,converged,19
w_naught,-0.03699493790580945,810.8760123786778,converged,20
w_sr,0.18049870722743797,810.8760123786778,converged,20
sr_gamma,-10.422285538932986,810.8760123786778,converged,20
w_naught,-0.03699517491596939,810.8758839705575,converged,21
w_sr,0.18042647642294746,810.8758839705575,converged,21
sr_gamma,-11.854250736598916,810.8758839705575,converged,21
w_naught,-0.03694870575720603,810.8759525770919,converged,22
w_sr,0.18032740012120047,810.8759525770919,converged,22
sr_gamma,-11.55132876695802,810.8759525770919,converged,22
w_naught,-0.03698326189658235,810.8758803823099,converged,23
w_sr,0.18030738071883942,810.8758803823099,converged,23
sr_gamma,-12.990609820663963,810.8758803823099,converged,23
w_naught,-0.036969873215992224,810.8758358265904,converged,24
w_sr,0.18043028319314142,810.8758358265904,converged,24
sr_gamma,-14.22282204076132,810.8758358265904,converged,24
w_naught,-0.0369958510847344,810.875869757145,converged,25
w_sr,0.18046830479494147,810.875869757145,converged,25
sr_gamma,-12.127219977843525,810.875869757145,converged,25
