param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.05411576155817134,102.57584015542213,converged,1
w_sr,1.8511727267334215,102.57584015542213,converged,1
sr_gamma,1.871957615714046,102.57584015542213,converged,1
w_naught,-0.05414060900588179,102.57583993363771,converged,2
w_sr,1.846273875902697,102.57583993363771,converged,2
sr_gamma,1.8686589780101648,102.57583993363771,converged,2
w_naught,-0.05417621568019955,102.57583923886104,converged,3
w_sr,1.8490260064677089,102.57583923886104,converged,3
sr_gamma,1.8705941987837276,102.57583923886104,converged,3
w_naught,-0.05415583023373394,102.57583757634625,converged,4
w_sr,1.8525296610458386,102.57583757634625,converged,4
sr_gamma,1.872935311030763,102.57583757634625,converged,4
w_naught,-0.05413400589891339,102.57583821506437,converged,5
w_sr,1.8497864848011392,102.57583821506437,converged,5
sr_gamma,1.8715039050567754,102.57583821506437,converged,5
w_naught,-0.054096607204002695,102.5758413100655,converged,6
w_sr,1.8492587646426784,102.5758413100655,converged,6
sr_gamma,1.8712174276664557,102.5758413100655,converged,6
w_naught,-0.05417642497086046,102.5758388647254,converged,7
w_sr,1.8532032818225272,102.5758388647254,converged,7
sr_gamma,1.872703142433647,102.5758388647254,converged,7
w_naught,-0.05415793016012217,102.57583805509192,converged,8
w_sr,1.8524088520450153,102.57583805509192,converged,8
sr_gamma,1.8731762554924534,102.57583805509192,converged,8
w_naught,-0.054156256259468134,102.57583807130696,converged,9
w_sr,1.8524930899871763,102.57583807130696,converged,9
sr_gamma,1.8732436471980476,102.57583807130696,converged,9
w_naught,-0.054160837918106566,102.5758400904141,converged,10
w_sr,1.8508977060216778,102.5758400904141,converged,10
sr_gamma,1.8707788025136383,102.5758400904141,converged,10
w_naught,-0.05420277391776731,102.57584031208081,converged,11
w_sr,1.851539233897803,102.57584031208081,converged,11
sr_gamma,1.8720655342054835,102.57584031208081,converged,11
w_naught,-0.05418503272806366,102.57583841482277,converged,12
w_sr,1.8521578021467868,102.57583841482277,converged,12
sr_gamma,1.8725785661934649,102.57583841482277,converged,12
w_naught,-0.05413685521285716,102.57584046939685,converged,13
w_sr,1.8457990709736112,102.57584046939685,converged,13
sr_gamma,1.8682499903491707,102.57584046939685,converged,13
w_naught,-0.05416855840730243,102.57583813782614,converged,14
w_sr,1.848739018646949,102.57583813782614,converged,14
sr_gamma,1.8701437935257195,102.57583813782614,converged,14
w_naught,-0.05417826472636382,102.57583764334618,converged,15
w_sr,1.8515975840533159,102.57583764334618,converged,15
sr_gamma,1.8718780653332183,102.57583764334618,converged,15
w_naught,-0.054157207494030794,102.57583886451516,converged,16
w_sr,1.8520369705413704,102.57583886451516,converged,16
sr_gamma,1.8731549294916312,102.57583886451516,converged,16
w_naught,-0.05414882423605631,102.57583861130968,converged,17
w_sr,1.8476570230980691,102.57583861130968,converged,17
sr_gamma,1.8691799976419787,102.57583861130968,converged,17
w_naught,-0.05413658950625136,102.5758380873902,converged,18
w_sr,1.8485706569536218,102.5758380873902,converged,18
sr_gamma,1.8701012369837353,102.5758380873902,converged,18
w_naught,-0.054189489944600294,102.57584321822473,converged,19
w_sr,1.848980085185963,102.57584321822473,converged,19
sr_gamma,1.8708930166747888,102.57584321822473,converged,19
w_naught,-0.054181985878594886,102.57583850617175,converged,20
w_sr,1.8507669143631262,102.57583850617175,converged,20
sr_gamma,1.870882274028737,102.57583850617175,converged,20
w_naught,-0.05417707302615126,102.57584851769529,converged,21
w_sr,1.8426251386160633,102.57584851769529,converged,21
sr_gamma,1.8650484520902983,102.57584851769529,converged,21
w_naught,-0.054140187810997886,102.57583830351942,converged,22
w_sr,1.8490114185371636,102.57583830351942,converged,22
sr_gamma,1.8709056288973067,102.57583830351942,converged,22
w_naught,-0.05414035045791003,102.57583869793481,converged,23
w_sr,1.8474688455539248,102.57583869793481,converged,23
sr_gamma,1.8695016595655392,102.57583869793481,converged,23
w_naught,-0.05413527733724973,102.57583974989961,converged,24
w_sr,1.8502368031988778,102.57583974989961,converged,24
sr_gamma,1.8722079347328977,102.57583974989961,converged,24
w_naught,-0.05413337086524779,102.57584363521678,converged,25
w_sr,1.8563419806166308,102.57584363521678,converged,25
sr_gamma,1.8756271809570282,102.57584363521678,converged,25
