param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.24693399751110395,26.019581751316153,converged,1
w_sr,5.235416071579575,26.019581751316153,converged,1
sr_gamma,2.108807060676371,26.019581751316153,converged,1
w_naught,-0.24697705500295522,26.01956690671241,converged,2
w_sr,5.231335808400937,26.01956690671241,converged,2
sr_gamma,2.105363148975102,26.01956690671241,converged,2
w_naught,-0.24683492963608478,26.019631108625354,converged,3
w_sr,5.24125681914999,26.019631108625354,converged,3
sr_gamma,2.1115570431102437,26.019631108625354,converged,3
w_naught,-0.24687288889061348,26.019568970091306,converged,4
w_sr,5.2321903574626365,26.019568970091306,converged,4
sr_gamma,2.106237179405383,26.019568970091306,converged,4
w_naught,-0.24690530975598454,26.019567859575183,converged,5
w_sr,5.2302255175721655,26.019567859575183,converged,5
sr_gamma,2.1057639567729467,26.019567859575183,converged,5
w_naught,-0.24692187299459586,26.019567070807852,converged,6
w_sr,5.230547093616351,26.019567070807852,converged,6
sr_gamma,2.1053243083839925,26.019567070807852,converged,6
w_naught,-0.2469944036451793,26.019568112531875,converged,7
w_sr,5.23459048371053,26.019568112531875,converged,7
sr_gamma,2.106859520896978,26.019568112531875,converged,7
w_naught,-0.24693474880994232,26.01956662206921,converged,8
w_sr,5.231689989710013,26.01956662206921,converged,8
sr_gamma,2.105662010089282,26.01956662206921,converged,8
w_naught,-0.24701742714918917,26.01957242310506,converged,9
w_sr,5.229578871821665,26.01957242310506,converged,9
sr_gamma,2.1048539192464246,26.01957242310506,converged,9
w_naught,-0.2469109856015821,26.01956728735785,converged,10
w_sr,5.231413303537019,26.01956728735785,converged,10
sr_gamma,2.106153970686587,26.01956728735785,converged,10
w_naught,-0.24691269377002067,26.019568030204745,converged,11
w_sr,5.230474016366392,26.019568030204745,converged,11
sr_gamma,2.105939649250007,26.019568030204745,converged,11
w_naught,-0.24694037884398773,26.019566467516132,converged,12
w_sr,5.231718478926103,26.019566467516132,converged,12
sr_gamma,2.1057989484903126,26.019566467516132,converged,12
w_naught,-0.24693490349625924,26.019568363135956,converged,13
w_sr,5.233453529412823,26.019568363135956,converged,13
sr_gamma,2.106144591745063,26.019568363135956,converged,13
w_naught,-0.24690638757949673,26.01956721446706,converged,14
w_sr,5.230385123438127,26.01956721446706,converged,14
sr_gamma,2.105432515446826,26.01956721446706,converged,14
w_naught,-0.2469861087420573,26.019566483623812,converged,15
w_sr,5.232667086610613,26.019566483623812,converged,15
sr_gamma,2.1058192550134303,26.019566483623812,converged,15
w_naught,-0.24699028452359,26.019566953564784,converged,16
w_sr,5.2333844101379245,26.019566953564784,converged,16
sr_gamma,2.1064525477956755,26.019566953564784,converged,16
w_naught,-0.2469084976716388,26.019567239027417,converged,17
w_sr,5.23123679845933,26.019567239027417,converged,17
sr_gamma,2.10606272174802,26.019567239027417,converged,17
w_naught,-0.2470033303803787,26.019566621112983,converged,18
w_sr,5.233108730971336,26.019566621112983,converged,18
sr_gamma,2.106015332870837,26.019566621112983,converged,18
w_naught,-0.24693202348546311,26.01956729403141,converged,19
w_sr,5.232882871847236,26.01956729403141,converged,19
sr_gamma,2.106447874091079,26.01956729403141,converged,19
w_naught,-0.24701377779296416,26.019566799222826,converged,20
w_sr,5.232763579589871,26.019566799222826,converged,20
sr_gamma,2.1058410593089887,26.019566799222826,converged,20
w_naught,-0.24688489162857175,26.019567818922305,converged,21
w_sr,5.231295221822883,26.019567818922305,converged,21
sr_gamma,2.105689180764071,26.019567818922305,converged,21
w_naught,-0.2470494101576263,26.01956956013122,converged,22
w_sr,5.231795480347203,26.01956956013122,converged,22
sr_gamma,2.1056003928501337,26.01956956013122,converged,22
w_naught,-0.2469371053323022,26.019567608643325,converged,23
w_sr,5.230086514071155,26.019567608643325,converged,23
sr_gamma,2.105109947693299,26.019567608643325,converged,23
w_naught,-0.24700122731159824,26.01956707991864,converged,24
w_sr,5.232646828250472,26.01956707991864,converged,24
sr_gamma,2.106192246495544,26.01956707991864,converged,24
w_naught,-0.2470225879933824,26.019567298230047,converged,25
w_sr,5.2341845059827765,26.019567298230047,converged,25
sr_gamma,2.1062794138930663,26.019567298230047,converged,25
