param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.3009092073507028,37.82587890638789,converged,1
w_sr,1.5083049878466062,37.82587890638789,converged,1
sr_gamma,-2.1119691034947614,37.82587890638789,converged,1
w_naught,-0.30087549906166866,37.8258793692925,converged,2
w_sr,1.5084934006274597,37.8258793692925,converged,2
sr_gamma,-2.1101018796012134,37.8258793692925,converged,2
w_naught,-0.3008765546306057,37.82588019254626,converged,3
w_sr,1.508830924907017,37.82588019254626,converged,3
sr_gamma,-2.107566773436873,37.82588019254626,converged,3
w_naught,-0.3010572667307225,37.825882488623755,converged,4
w_sr,1.509603050154427,37.825882488623755,converged,4
sr_gamma,-2.1080128487488827,37.825882488623755,converged,4
w_naught,-0.30088167034902624,37.82588252098388,converged,5
w_sr,1.5082257883317398,37.82588252098388,converged,5
sr_gamma,-2.116023516667412,37.82588252098388,converged,5
w_naught,-0.29604961198445895,37.85122803093331,converged,6
w_sr,1.4018984050749177,37.85122803093331,converged,6
sr_gamma,-3.3288636511893683,37.85122803093331,converged,6
w_naught,-0.30094796423968284,37.825878435282256,converged,7
w_sr,1.5089845110225033,37.825878435282256,converged,7
sr_gamma,-2.1084178944486576,37.825878435282256,converged,7
w_naught,-0.30088932356443865,37.82588158407218,converged,8
w_sr,1.5090666764465708,37.82588158407218,converged,8
sr_gamma,-2.1052172993582916,37.82588158407218,converged,8
w_naught,-0.30093561638988,37.82588038295086,converged,9
w_sr,1.5089869674358316,37.82588038295086,converged,9
sr_gamma,-2.1063651629826947,37.82588038295086,converged,9
w_naught,-0.3009081977511078,37.82588524861174,converged,10
w_sr,1.5087148724152537,37.82588524861174,converged,10
sr_gamma,-2.105778928549717,37.82588524861174,converged,10
w_naught,-0.300979984163496,37.82587941165698,converged,11
w_sr,1.5086342250972793,37.82587941165698,converged,11
sr_gamma,-2.1118691536953254,37.82587941165698,converged,11
w_naught,-0.3009286915904543,37.82587830876596,converged,12
w_sr,1.5088181590548786,37.82587830876596,converged,12
sr_gamma,-2.1094539171882483,37.82587830876596,converged,12
w_naught,-0.3010151888936255,37.82587988011969,converged,13
w_sr,1.5093252648673166,37.82587988011969,converged,13
sr_gamma,-2.1072156849539048,37.82587988011969,converged,13
w_naught,-0.30104743131119405,37.825881333891374,converged,14
w_sr,1.5097485353421614,37.825881333891374,converged,14
sr_gamma,-2.1058435736623133,37.825881333891374,converged,14
w_naught,-0.30105847117521645,37.82588263887036,converged,15
w_sr,1.509710315319865,37.82588263887036,converged,15
sr_gamma,-2.104392982214547,37.82588263887036,converged,15
w_naught,-0.3009479324165411,37.8258790106628,converged,16
w_sr,1.5091247829613583,37.8258790106628,converged,16
sr_gamma,-2.1091083849276107,37.8258790106628,converged,16
w_naught,-0.30096011997926075,37.82587847912435,converged,17
w_sr,1.5088411019109054,37.82587847912435,converged,17
sr_gamma,-2.109845165657047,37.82587847912435,converged,17
w_naught,-0.30092533798182086,37.82588077410633,converged,18
w_sr,1.5087263250152623,37.82588077410633,converged,18
sr_gamma,-2.1076699957909533,37.82588077410633,converged,18
w_naught,-0.3009170528258316,37.825878315565895,converged,19
w_sr,1.5086499631388675,37.825878315565895,converged,19
sr_gamma,-2.1106726017818858,37.825878315565895,converged,19
w_naught,-0.3008281574512196,37.82589120177206,converged,20
w_sr,1.5091779846896656,37.82589120177206,converged,20
sr_gamma,-2.109599115010755,37.82589120177206,converged,20
w_naught,-0.30092829409231,37.82587858405158,converged,21
w_sr,1.5084696099731119,37.82587858405158,converged,21
sr_gamma,-2.1126367023295813,37.82587858405158,converged,21
w_naught,-0.300871985113921,37.825880628411866,converged,22
w_sr,1.5088837694848445,37.825880628411866,converged,22
sr_gamma,-2.109467503176514,37.825880628411866,converged,22
w_naught,-0.2983727902037364,37.83200043817844,converged,23
w_sr,1.4545794206001799,37.83200043817844,converged,23
sr_gamma,-2.551491832584339,37.83200043817844,converged,23
w_naught,-0.14634547757010746,77.18304812227228,converged,24
w_sr,11.133120946356406,77.18304812227228,converged,24
sr_gamma,55.04469536133388,77.18304812227228,converged,24
w_naught,-0.30091076617815427,37.825878799874985,converged,25
w_sr,1.5086268247141037,37.825878799874985,converged,25
sr_gamma,-2.109613000063755,37.825878799874985,converged,25
