param_name,param_value,optim_value,convergence,optimizer_run
w_naught,-0.1407785925392348,79.9441746065137,converged,1
w_sr,0.697080994922858,79.9441746065137,converged,1
sr_gamma,-4.545185995773995,79.9441746065137,converged,1
w_naught,-0.14054902552005713,79.94408029407901,converged,2
w_sr,0.6951598821466917,79.94408029407901,converged,2
sr_gamma,-5.013424244727975,79.94408029407901,converged,2
w_naught,-0.09218690429132814,94.47925555376756,converged,3
w_sr,7.316150993465705,94.47925555376756,converged,3
sr_gamma,65.54850659947263,94.47925555376756,converged,3
w_naught,-0.14055300514311675,79.94407960142331,converged,4
w_sr,0.6950550417414789,79.94407960142331,converged,4
sr_gamma,-5.044520836678288,79.94407960142331,converged,4
w_naught,-0.14105553548999844,79.94434366259213,converged,5
w_sr,0.7013621628086373,79.94434366259213,converged,5
sr_gamma,-4.155577973937457,79.94434366259213,converged,5
w_naught,-0.14051504862449182,79.94408670707101,converged,6
w_sr,0.6952045859252683,79.94408670707101,converged,6
sr_gamma,-4.946938607386523,79.94408670707101,converged,6
w_naught,-0.14764729720550382,80.07949607179371,converged,7
w_sr,0.8837465193330978,80.07949607179371,converged,7
sr_gamma,-1.1575753189266411,80.07949607179371,converged,7
w_naught,-0.1405526367806516,79.94408967337594,converged,8
w_sr,0.69564435307170025,79.94408967337594,converged,8
sr_gamma,-4.850417295480032,79.94408967337594,converged,8
w_naught,-0.14062797955430226,79.9440991276179,converged,9
w_sr,0.6968173978816099,79.9440991276179,converged,9
sr_gamma,-4.692591998846804,79.9440991276179,converged,9
w_naught,-0.14060031192241043,79.94408077096854,converged,10
w_sr,0.6953313144197394,79.94408077096854,converged,10
sr_gamma,-4.98285750244161,79.94408077096854,converged,10
w_naught,-0.14056960361655574,79.9440798814016,converged,11
w_sr,0.6951233006609518,79.9440798814016,converged,11
sr_gamma,-5.071257383831696,79.9440798814016,converged,11
w_naught,-0.14055870770517706,79.94408031948298,converged,12
w_sr,0.6945668426269765,79.94408031948298,converged,12
sr_gamma,-5.147797802010232,79.94408031948298,converged,12
w_naught,-0.14059017464599027,79.94408172622623,converged,13
w_sr,0.6954443194445877,79.94408172622623,converged,13
sr_gamma,-4.940484631755771,79.94408172622623,converged,13
w_naught,-0.14067490110902703,79.94411370381452,converged,14
w_sr,0.6967022589953835,79.94411370381452,converged,14
sr_gamma,-4.654204182756494,79.94411370381452,converged,14
w_naught,-0.14057421444753138,79.9440814817049,converged,15
w_sr,0.6946154997578565,79.9440814817049,converged,15
sr_gamma,-5.121640029482116,79.9440814817049,converged,15
w_naught,-0.14056296170870403,79.94407989099308,converged,16
w_sr,0.6951257955062377,79.94407989099308,converged,16
sr_gamma,-5.065609424950798,79.94407989099308,converged,16
w_naught,-0.14055625025890722,79.94407987177861,converged,17
w_sr,0.6951831358017485,79.94407987177861,converged,17
sr_gamma,-5.025743162790233,79.94407987177861,converged,17
w_naught,-0.14087652552076813,79.94421872224997,converged,18
w_sr,0.7000245575046018,79.94421872224997,converged,18
sr_gamma,-4.28965785558959,79.94421872224997,converged,18
w_naught,-0.1408719121003411,79.94425947015353,converged,19
w_sr,0.7003429659873326,79.94425947015353,converged,19
sr_gamma,-4.213625529182508,79.94425947015353,converged,19
w_naught,-0.140567689119884,79.94408201367179,converged,20
w_sr,0.6952999357606302,79.94408201367179,converged,20
sr_gamma,-4.953267131487406,79.94408201367179,converged,20
w_naught,-0.14089456557340746,79.94422485732261,converged,21
w_sr,0.7003490376497686,79.94422485732261,converged,21
sr_gamma,-4.280943293326705,79.94422485732261,converged,21
w_naught,-0.1405775942092635,79.94408765907887,converged,22
w_sr,0.6952819106152104,79.94408765907887,converged,22
sr_gamma,-4.912687887203235,79.94408765907887,converged,22
w_naught,-0.14056907961728668,79.94409624610239,converged,23
w_sr,0.6963726306374433,79.94409624610239,converged,23
sr_gamma,-4.75002551447115,79.94409624610239,converged,23
w_naught,-0.14075053941293303,79.9441370625935,converged,24
w_sr,0.6976474660289899,79.9441370625935,converged,24
sr_gamma,-4.536134086279476,79.9441370625935,converged,24
w_naught,-0.14057778333758641,79.94409002080805,converged,25
w_sr,0.6962795376106867,79.94409002080805,converged,25
sr_gamma,-4.82392679739916,79.94409002080805,converged,25
