task,study,sub_id,model,param_name,param_value,optim_value,convergence,optimizer_run
Memory,Paired Associates,8,Mem. + SR,sr_gamma,0.1312822446566876,68.87806702325092,converged,19
Memory,Paired Associates,8,SR,w_naught,-0.18439734804656904,68.95656451814584,converged,2
Memory,Paired Associates,8,SR,w_sr,1.1658948458065583,68.95656451814584,converged,2
Memory,Paired Associates,8,SR,sr_gamma,0.2824649900776213,68.95656451814584,converged,2
Memory,Paired Associates,9,Mem.,w_naught,0.007548427681885,104.35916454569174,converged,8
Memory,Paired Associates,9,Mem.,w_mem,0.23687535661573517,104.35916454569174,converged,8
Memory,Paired Associates,9,Mem. + SR,w_naught,0.02435352656759865,103.38386325477744,converged,15
Memory,Paired Associates,9,Mem. + SR,w_mem,0.5874619187501827,103.38386325477744,converged,15
Memory,Paired Associates,9,Mem. + SR,w_sr,-1.5203231861487525,103.38386325477744,converged,15
Memory,Paired Associates,9,Mem. + SR,sr_gamma,0.7971955318031917,103.38386325477744,converged,15
Memory,Paired Associates,9,SR,w_naught,0.00786069005141772,104.4601995753056,converged,5
Memory,Paired Associates,9,SR,w_sr,0.2514019771193641,104.4601995753056,converged,5
Memory,Paired Associates,9,SR,sr_gamma,6.24007044453127e-8,104.4601995753056,converged,5
Memory,Paired Associates,10,Mem.,w_naught,-0.03472066342739631,104.42551667296836,converged,24
Memory,Paired Associates,10,Mem.,w_mem,0.26685188296134243,104.42551667296836,converged,24
Memory,Paired Associates,10,Mem. + SR,w_naught,-0.060889134422668,102.1506542709464,converged,21
Memory,Paired Associates,10,Mem. + SR,w_mem,-0.32912756121721265,102.1506542709464,converged,21
Memory,Paired Associates,10,Mem. + SR,w_sr,1.9414246067218732,102.1506542709464,converged,21
Memory,Paired Associates,10,Mem. + SR,sr_gamma,0.7118531630690441,102.1506542709464,converged,21
Memory,Paired Associates,10,SR,w_naught,-0.05415583023373394,102.57583757634625,converged,4
Memory,Paired Associates,10,SR,w_sr,1.8525296610458384,102.57583757634625,converged,4
Memory,Paired Associates,10,SR,sr_gamma,0.8581295766936621,102.57583757634625,converged,4
Memory,Paired Associates,11,Mem.,w_naught,-0.18928269053448504,54.33307222587096,converged,19
Memory,Paired Associates,11,Mem.,w_mem,1.2870258100271796,54.33307222587096,converged,19
Memory,Paired Associates,11,Mem. + SR,w_naught,-0.24785144821456084,50.486815531641696,converged,13
Memory,Paired Associates,11,Mem. + SR,w_mem,0.19739320752031564,50.486815531641696,converged,13
Memory,Paired Associates,11,Mem. + SR,w_sr,3.489829199264883,50.486815531641696,converged,13
Memory,Paired Associates,11,Mem. + SR,sr_gamma,0.7118047037538059,50.486815531641696,converged,13
Memory,Paired Associates,11,SR,w_naught,-0.25122140805807586,50.536240650711086,converged,16
Memory,Paired Associates,11,SR,w_sr,3.493527439337135,50.536240650711086,converged,16
Memory,Paired Associates,11,SR,sr_gamma,0.6551887133710859,50.536240650711086,converged,16
Memory,Paired Associates,12,Mem.,w_naught,-0.11458426629558612,83.46054509409485,converged,20
Memory,Paired Associates,12,Mem.,w_mem,0.6931322228740526,83.46054509409485,converged,20
Memory,Paired Associates,12,Mem. + SR,w_naught,-0.13794684390483286,82.03156569903506,converged,6
Memory,Paired Associates,12,Mem. + SR,w_mem,-0.07290809712033328,82.03156569903506,converged,6
Memory,Paired Associates,12,Mem. + SR,w_sr,1.554360122772709,82.03156569903506,converged,6
Memory,Paired Associates,12,Mem. + SR,sr_gamma,0.5049720276652419,82.03156569903506,converged,6
Memory,Paired Associates,12,SR,w_naught,-0.1381491571096567,82.03263727997546,converged,17
Memory,Paired Associates,12,SR,w_sr,1.5333250263809042,82.03263727997546,converged,17
Memory,Paired Associates,12,SR,sr_gamma,0.5526910021311277,82.03263727997546,converged,17
Memory,Paired Associates,13,Mem.,w_naught,-0.04758132932974419,103.01339501032324,converged,21
Memory,Paired Associates,13,Mem.,w_mem,0.29246017845650163,103.01339501032324,converged,21
Memory,Paired Associates,13,Mem. + SR,w_naught,-0.03168009002842158,102.09220426727506,converged,7
Memory,Paired Associates,13,Mem. + SR,w_mem,0.7386406511059656,102.09220426727506,converged,7
Memory,Paired Associates,13,Mem. + SR,w_sr,-1.185215891518172,102.09220426727506,converged,7
Memory,Paired Associates,13,Mem. + SR,sr_gamma,0.6430546399038274,102.09220426727506,converged,7
Memory,Paired Associates,13,SR,w_naught,-0.04755038585561371,103.05272213866591,converged,4
Memory,Paired Associates,13,SR,w_sr,0.3160490680751587,103.05272213866591,converged,4
Memory,Paired Associates,13,SR,sr_gamma,2.379401867955096e-7,103.05272213866591,converged,4
Memory,Paired Associates,14,Mem.,w_naught,-0.071634184916966,98.46463335560335,converged,15
Memory,Paired Associates,14,Mem.,w_mem,0.380925015707836,98.46463335560335,converged,15
Memory,Paired Associates,14,Mem. + SR,w_naught,-0.05755754237123309,97.7991517824574,converged,12
Memory,Paired Associates,14,Mem. + SR,w_mem,0.7015909784832142,97.7991517824574,converged,12
Memory,Paired Associates,14,Mem. + SR,w_sr,-1.2143388862520526,97.7991517824574,converged,12
Memory,Paired Associates,14,Mem. + SR,sr_gamma,0.7643089632623516,97.7991517824574,converged,12
Memory,Paired Associates,14,SR,w_naught,-0.07199815970300091,98.35595238507116,converged,23
Memory,Paired Associates,14,SR,w_sr,0.4169312971255667,98.35595238507116,converged,23
Memory,Paired Associates,14,SR,sr_gamma,4.2829209769438937e-7,98.35595238507116,converged,23
Memory,Paired Associates,15,Mem.,w_naught,0.05036237241711416,81.00184876156474,converged,17
Memory,Paired Associates,15,Mem.,w_mem,1.7462921845180297,81.00184876156474,converged,17
Memory,Paired Associates,15,Mem. + SR,w_naught,0.05877500921186725,80.79477188120103,converged,10
Memory,Paired Associates,15,Mem. + SR,w_mem,1.9685222421528357,80.79477188120103,converged,10
Memory,Paired Associates,15,Mem. + SR,w_sr,-0.6318957837940826,80.79477188120103,converged,10
Memory,Paired Associates,15,Mem. + SR,sr_gamma,0.6623768255383339,80.79477188120103,converged,10
Memory,Paired Associates,15,SR,w_naught,0.0503704974728107,81.01604844700742,converged,10
Memory,Paired Associates,15,SR,w_sr,1.8194716165907003,81.01604844700742,converged,10
Memory,Paired Associates,15,SR,sr_gamma,4.391561193907797e-8,81.01604844700742,converged,10
Memory,Paired Associates,17,Mem.,w_naught,0.03107680392066029,104.7845605518608,converged,25
Memory,Paired Associates,17,Mem.,w_mem,0.09780325041492086,104.7845605518608,converged,25
Memory,Paired Associates,17,Mem. + SR,w_naught,0.03568732719398038,104.59897385375618,converged,22
Memory,Paired Associates,17,Mem. + SR,w_mem,0.7798444828462485,104.59897385375618,converged,22
Memory,Paired Associates,17,Mem. + SR,w_sr,-0.8515695522544895,104.59897385375618,converged,22
Memory,Paired Associates,17,Mem. + SR,sr_gamma,0.13385753494926075,104.59897385375618,converged,22
Memory,Paired Associates,17,SR,w_naught,0.03126322913429461,104.81003929939108,converged,3
Memory,Paired Associates,17,SR,w_sr,0.10331389471025557,104.81003929939108,converged,3
Memory,Paired Associates,17,SR,sr_gamma,5.480926150291789e-7,104.81003929939108,converged,3
Memory,Paired Associates,18,Mem.,w_naught,0.03398567628147977,97.38776190376608,converged,20
Memory,Paired Associates,18,Mem.,w_mem,0.35867336944562667,97.38776190376608,converged,20
Memory,Paired Associates,18,Mem. + SR,w_naught,0.02466073742019153,96.6146875081036,converged,6
Memory,Paired Associates,18,Mem. + SR,w_mem,-1.1836466408099475,96.6146875081036,converged,6
Memory,Paired Associates,18,Mem. + SR,w_sr,1.915130221110645,96.6146875081036,converged,6
Memory,Paired Associates,18,Mem. + SR,sr_gamma,0.12675802866636404,96.6146875081036,converged,6
Memory,Paired Associates,18,SR,w_naught,0.02599799782152705,96.91722642000842,converged,11
Memory,Paired Associates,18,SR,w_sr,0.6291251274055396,96.91722642000842,converged,11
Memory,Paired Associates,18,SR,sr_gamma,0.3920434853312949,96.91722642000842,converged,11
Memory,Paired Associates,19,Mem.,w_naught,-0.1390568793124442,80.44289595455575,converged,14
Memory,Paired Associates,19,Mem.,w_mem,0.6260960631023182,80.44289595455575,converged,14
Memory,Paired Associates,19,Mem. + SR,w_naught,-0.14076457436974787,79.28613416432049,converged,13
Memory,Paired Associates,19,Mem. + SR,w_mem,-1.9494686202302784,79.28613416432049,converged,13
Memory,Paired Associates,19,Mem. + SR,w_sr,2.807300955791825,79.28613416432049,converged,13
Memory,Paired Associates,19,Mem. + SR,sr_gamma,3.1866783622315757e-7,79.28613416432049,converged,13
Memory,Paired Associates,19,SR,w_naught,-0.14055300514311675,79.94407960142331,converged,4
Memory,Paired Associates,19,SR,w_sr,0.6950550417414789,79.94407960142331,converged,4
Memory,Paired Associates,19,SR,sr_gamma,0.006339248549713204,79.94407960142331,converged,4
Memory,Paired Associates,20,Mem.,w_naught,0.01958384800597636,103.53215943497904,converged,19
Memory,Paired Associates,20,Mem.,w_mem,0.218651572301645,103.53215943497904,converged,19
Memory,Paired Associates,20,Mem. + SR,w_naught,0.02671855892885222,103.34530019602263,converged,11
Memory,Paired Associates,20,Mem. + SR,w_mem,0.4186530301840725,103.34530019602263,converged,11
Memory,Paired Associates,20,Mem. + SR,w_sr,-0.5070789702829297,103.34530019602263,converged,11
Memory,Paired Associates,20,Mem. + SR,sr_gamma,0.6213619408765501,103.34530019602263,converged,11
Memory,Paired Associates,20,SR,w_naught,0.01941556208913938,103.50591230438432,converged,9
Memory,Paired Associates,20,SR,w_sr,0.23922445412803311,103.50591230438432,converged,9
Memory,Paired Associates,20,SR,sr_gamma,1.825000356145172e-7,103.50591230438432,converged,9
Memory,Paired Associates,21,Mem.,w_naught,-0.00682815674201765,102.83213599511626,converged,21
Memory,Paired Associates,21,Mem.,w_mem,0.3321825861337345,102.83213599511626,converged,21
Memory,Paired Associates,21,Mem. + SR,w_naught,-0.0150197919477304,102.54745210051564,converged,19
Memory,Paired Associates,21,Mem. + SR,w_mem,-0.08189335699418385,102.54745210051564,converged,19
Memory,Paired Associates,21,Mem. + SR,w_sr,0.6942276866488091,102.54745210051564,converged,19
Memory,Paired Associates,21,Mem. + SR,sr_gamma,0.3816745355997108,102.54745210051564,converged,19
Memory,Paired Associates,21,SR,w_naught,-0.01465901341215444,102.55208142788948,converged,23
Memory,Paired Associates,21,SR,w_sr,0.6062760211838765,102.55208142788948,converged,23
Memory,Paired Associates,21,SR,sr_gamma,0.4377815561280725,102.55208142788948,converged,23
Memory,Paired Associates,22,Mem.,w_naught,-0.2304961417237544,37.270646485175014,converged,9
Memory,Paired Associates,22,Mem.,w_mem,2.494593627989003,37.270646485175014,converged,9
Memory,Paired Associates,22,Mem. + SR,w_naught,-0.3134156390224788,32.58890441201516,converged,15
Memory,Paired Associates,22,Mem. + SR,w_mem,0.9558348715337498,32.58890441201516,converged,15
Memory,Paired Associates,22,Mem. + SR,w_sr,4.139866404226293,32.58890441201516,converged,15
Memory,Paired Associates,22,Mem. + SR,sr_gamma,0.6010343476870031,32.58890441201516,converged,15
Memory,Paired Associates,22,SR,w_naught,-0.31637457184574375,32.76106097471392,converged,16
Memory,Paired Associates,22,SR,w_sr,4.3964288260771784,32.76106097471392,converged,16
Memory,Paired Associates,22,SR,sr_gamma,0.4893165498904432,32.76106097471392,converged,16
Memory,Paired Associates,23,Mem.,w_naught,-0.17722982907906207,63.58415475567703,converged,16
Memory,Paired Associates,23,Mem.,w_mem,0.9701618824757694,63.58415475567703,converged,16
Memory,Paired Associates,23,Mem. + SR,w_naught,-0.22771425391465705,60.09546106986277,converged,23
Memory,Paired Associates,23,Mem. + SR,w_mem,0.00406166179795525,60.09546106986277,converged,23
Memory,Paired Associates,23,Mem. + SR,w_sr,2.998491903524622,60.09546106986277,converged,23
Memory,Paired Associates,23,Mem. + SR,sr_gamma,0.6947047051421572,60.09546106986277,converged,23
Memory,Paired Associates,23,SR,w_naught,-0.2277495929977604,60.095480652797114,converged,24
Memory,Paired Associates,23,SR,w_sr,2.9955688614763325,60.095480652797114,converged,24
Memory,Paired Associates,23,SR,sr_gamma,0.6929668274689033,60.095480652797114,converged,24
Memory,Paired Associates,24,Mem.,w_naught,-0.0256051926265546,91.56282736209236,converged,13
Memory,Paired Associates,24,Mem.,w_mem,0.7850619636138159,91.56282736209236,converged,13
Memory,Paired Associates,24,Mem. + SR,w_naught,-0.04798033478566739,90.01899219951837,converged,9
Memory,Paired Associates,24,Mem. + SR,w_mem,0.28985740802103954,90.01899219951837,converged,9
Memory,Paired Associates,24,Mem. + SR,w_sr,1.9391076743814124,90.01899219951837,converged,9
Memory,Paired Associates,24,Mem. + SR,sr_gamma,0.7763442260705425,90.01899219951837,converged,9
Memory,Paired Associates,24,SR,w_naught,-0.0489089933680307,90.15755809634834,converged,4
Memory,Paired Associates,24,SR,w_sr,1.7256298933936387,90.15755809634834,converged,4
Memory,Paired Associates,24,SR,sr_gamma,0.5726701690982609,90.15755809634834,converged,4
Memory,Paired Associates,25,Mem.,w_naught,-0.01114919751920929,102.31111309208558,converged,10
Memory,Paired Associates,25,Mem.,w_mem,0.3577764847527622,102.31111309208558,converged,10
